datetime,symbol,side,quantity,price,realized_pnl_after_trade,notes
2025-12-12T07:43:04.720552,NIFTY,BUY,25,25000.0,0.0,
2025-12-12T07:43:14.349944,NIFTY,SELL,25,25100.0,0.0,
2025-12-12T08:05:56.267880,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T08:05:57.387754,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-12T08:05:58.200641,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T08:05:59.146445,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-12T08:06:57.810489,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T08:06:59.527155,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T14:11:44.647456,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T14:11:46.033182,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T14:11:47.079647,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T14:11:48.044022,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T14:11:48.705114,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T14:11:49.256343,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T15:21:46.521010,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T15:21:47.700028,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T15:21:48.542102,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T15:21:49.374710,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T15:21:50.253468,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T15:21:51.198349,NIFTY,SELL,25,25870.0,0.0,
2025-12-12T15:21:52.239199,NIFTY,BUY,25,25870.0,0.0,
2025-12-12T15:21:52.981987,NIFTY,SELL,25,25870.0,0.0,
2025-12-13T04:24:26.216212,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:24:27.057763,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:24:27.487085,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:35:56.676588,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:35:57.838504,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:35:58.540746,NIFTY,SELL,25,25870.0,0.0,
2025-12-13T04:35:59.027809,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:35:59.738514,NIFTY,SELL,25,25870.0,0.0,
2025-12-13T04:36:00.434895,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T04:36:00.974452,NIFTY,SELL,25,25870.0,0.0,
2025-12-13T04:36:05.465045,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-13T04:36:06.486903,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-13T04:36:07.584032,BANKNIFTY,BUY,25,55000.0,0.0,
2025-12-13T04:36:08.435930,BANKNIFTY,SELL,25,55000.0,0.0,
2025-12-13T05:35:19.510356,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T05:35:20.240944,NIFTY,SELL,25,25870.0,0.0,
2025-12-13T13:24:53.849393,NIFTY,BUY,25,25870.0,0.0,
2025-12-13T13:24:54.604489,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:15.634620,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T04:47:16.347156,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:17.352254,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T04:47:17.836991,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:18.326474,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T04:47:19.209272,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:19.684143,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T04:47:20.060289,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:20.660761,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:21.255020,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:21.724822,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:22.265624,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:23.473941,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:23.685243,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:23.885723,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:24.083980,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:24.304470,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:24.706078,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T04:47:25.444764,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T04:47:27.574546,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T06:37:21.275512,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T06:37:22.329172,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T06:37:23.176652,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T06:37:24.024645,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T06:48:27.026296,NIFTY,BUY,25,25870.0,0.0,
2025-12-14T06:48:28.044590,NIFTY,SELL,25,25870.0,0.0,
2025-12-14T06:48:36.052259,NIFTY,BUY,25,25870.0,0.0,
